company_name,company_financing_status,employees,hq_city,verticals,success_probability,total_raised,last_financing_date,last_financing_size
Manychat,Venture Capital-Backed,384,West Hollywood,"Artificial Intelligence & Machine Learning, Big Data, Marketing Tech, SaaS",94%,159.12,22-Apr-2025,140.0
Sentra,Venture Capital-Backed,133,New York,"Cybersecurity, SaaS",96%,103.0,22-Apr-2025,50.0
Easebuzz,Venture Capital-Backed,330,Pune,"FinTech, Mobile",92%,31.77,07-Apr-2025,27.84
Unframe (Business/Productivity Software),Venture Capital-Backed,25,Cupertino,SaaS,94%,50.0,03-Apr-2025,30.0
Brisk Teaching,Venture Capital-Backed,37,Los Altos,"Artificial Intelligence & Machine Learning, EdTech",86%,21.9,26-Mar-2025,15.0
Protectt.ai,Venture Capital-Backed,67,Gurugram,"Artificial Intelligence & Machine Learning, Cybersecurity, Mobile",74%,13.88,18-Mar-2025,8.7
Anthropic,Venture Capital-Backed,1000,San Francisco,"Artificial Intelligence & Machine Learning, Big Data, SaaS",98%,18004.0,11-Mar-2025,750.0
Innoviti,Venture Capital-Backed,650,Bangalore,"B2B Payments, FinTech, Mobile",86%,94.55,06-Mar-2025,4.02
Rupifi,Venture Capital-Backed,145,Bengaluru,"B2B Payments, FinTech",75%,191.06,03-Mar-2025,146.0
Crash Override,Venture Capital-Backed,20,New York,"Cybersecurity, SaaS",82%,26.55,28-Feb-2025,13.25
Raise (Services),Venture Capital-Backed,78,Chicago,"FinTech, TMT",97%,209.11,26-Feb-2025,63.0
Abridge,Venture Capital-Backed,188,Pittsburgh,"Artificial Intelligence & Machine Learning, Digital Health, HealthTech, LOHAS & Wellness, Mobile",85%,463.9,19-Feb-2025,250.0
Giskard,Venture Capital-Backed,24,Paris,"Artificial Intelligence & Machine Learning, SaaS",80%,6.61,19-Feb-2025,5.0
fal,Venture Capital-Backed,22,Oakland,"Artificial Intelligence & Machine Learning, Big Data, SaaS",97%,72.0,12-Feb-2025,49.0
AppliedAI,Venture Capital-Backed,114,Abu Dhabi,"Artificial Intelligence & Machine Learning, Big Data, FinTech, InsurTech",96%,59.2,11-Feb-2025,55.0
Swanston Organisation,Venture Capital-Backed,18,Stamford,,72%,12.5,11-Feb-2025,10.0
AimLabs,Venture Capital-Backed,99,New York,"Artificial Intelligence & Machine Learning, Esports, Gaming, SaaS",81%,119.06,28-Jan-2025,15.17
HockeyStack,Venture Capital-Backed,58,Middletown,"Artificial Intelligence & Machine Learning, Marketing Tech, SaaS, TMT",94%,22.7,28-Jan-2025,20.0
ShopMy,Venture Capital-Backed,190,Holden,Marketing Tech,96%,96.0,24-Jan-2025,77.5
Render,Venture Capital-Backed,117,San Francisco,"CloudTech & DevOps, SaaS",95%,162.75,21-Jan-2025,80.0
Nilus (Financial Software),Venture Capital-Backed,45,New York,"E-Commerce, FinTech, SaaS",92%,16.0,15-Jan-2025,10.0
Atomo,Venture Capital-Backed,45,Seattle,"Climate Tech, FoodTech",88%,82.05,10-Jan-2025,7.85
Pallet (Business/Productivity Software),Venture Capital-Backed,88,Fremont,"SaaS, Supply Chain Tech",87%,41.0,10-Jan-2025,27.0
Torch Dental,Venture Capital-Backed,116,New York,"Digital Health, HealthTech, SaaS, TMT",93%,66.54,08-Jan-2025,17.0
Create (Software Development Applications),Venture Capital-Backed,10,San Francisco,Artificial Intelligence & Machine Learning,62%,14.0,01-Jan-2025,5.5
