vc_name,company_name,company_financing_status,employees,hq_city,verticals,success_probability,total_raised,last_financing_date,last_financing_size
Accel,Fictiv,Private Equity-Backed,400,San Francisco,"Advanced Manufacturing, SaaS, TMT",82%,195.62,17-Apr-2025,350
Accel,Lyst,Venture Capital-Backed,150,London,"E-Commerce, TMT",85%,184.95,09-Apr-2025,154
Accel,Innovist,Venture Capital-Backed,135,Gurgaon,"E-Commerce, LOHAS & Wellness",86%,33.01,08-Apr-2025,15.8
Accel,Juspay,Venture Capital-Backed,1635,Bangalore,"FinTech, SaaS",94%,148.34,07-Apr-2025,60
Accel,Fuse Finance,Venture Capital-Backed,12,Dubai,FinTech,71%,8.55,03-Apr-2025,6.6
Accel,RapidClaims,Venture Capital-Backed,20,Wilmington,"Artificial Intelligence & Machine Learning, HealthTech, SaaS",78%,11.1,02-Apr-2025,8
Accel,Zepz,Venture Capital-Backed,800,London,"FinTech, Mobile, Mobile Commerce, SaaS",95%,1673.46,01-Apr-2025,165
Accel,Spinny,Venture Capital-Backed,3945,Gurugram,"E-Commerce, Mobile",98%,647.61,31-Mar-2025,131
Accel,Tomorro,Venture Capital-Backed,71,Toulouse,"Artificial Intelligence & Machine Learning, FinTech, HR Tech, Legal Tech, SaaS",90%,49.82,31-Mar-2025,27.01
Accel,Tailscale,Venture Capital-Backed,150,Toronto,SaaS,96%,277.26,28-Mar-2025,160
Accel,Cult.Fit,Venture Capital-Backed,4032,Bangalore,"Digital Health, E-Commerce, LOHAS & Wellness, Mobile",96%,527.29,26-Mar-2025,287.86
Accel,Nabhdrishti Aerospace,Venture Capital-Backed,15,Bangalore,,63%,3.46,26-Mar-2025,3
Accel,Voiceops,Venture Capital-Backed,12,New York,"Artificial Intelligence & Machine Learning, EdTech, Industrials, SaaS",89%,23.72,26-Mar-2025,5
Accel,Curefoods,Venture Capital-Backed,648,Bengaluru,FoodTech,97%,212.56,25-Mar-2025,6.6
Accel,Silna Health,Venture Capital-Backed,15,New York,"Artificial Intelligence & Machine Learning, Digital Health, HealthTech",86%,32.09,25-Mar-2025,27
Accel,ApnaMart,Venture Capital-Backed,36,Ranchi,E-Commerce,48%,39.08,24-Mar-2025,24.68
Accel,Aura (Network Management Software),Venture Capital-Backed,946,Boston,"Cybersecurity, Mobile, SaaS, TMT",98%,995.01,24-Mar-2025,140
Accel,VoidZero,Venture Capital-Backed,,Palo Alto,,82%,18.61,18-Mar-2025,14
Accel,RedotPay,Venture Capital-Backed,,Hong Kong,"Cryptocurrency/Blockchain, FinTech",85%,43,14-Mar-2025,40
Accel,Supabase,Venture Capital-Backed,124,San Francisco,"CloudTech & DevOps, SaaS",85%,297.89,13-Mar-2025,100
Accel,Scimplify,Venture Capital-Backed,146,Bengaluru,,81%,50.73,12-Mar-2025,40
Accel,Bizongo,Venture Capital-Backed,320,Mumbai,"E-Commerce, SaaS, Supply Chain Tech",97%,337.57,11-Mar-2025,4.5
Accel,Zolve,Venture Capital-Backed,187,Houston,"FinTech, Mobile",88%,407.01,11-Mar-2025,251
Accel,"Swish (Restaurants, Hotels and Leisure)",Venture Capital-Backed,69,Bengaluru,"E-Commerce, Mobile, SaaS",88%,16.05,07-Mar-2025,14.04
Accel,Truemeds,Venture Capital-Backed,97,Mumbai,"E-Commerce, HealthTech, LOHAS & Wellness, Mobile",78%,71.97,06-Mar-2025,44
Accel,Zeitview,Venture Capital-Backed,194,Santa Monica,"Artificial Intelligence & Machine Learning, CleanTech, Construction Technology, SaaS",97%,178.96,05-Mar-2025,60
Accel,Instant (Business/Productivity Software),Venture Capital-Backed,59,Sydney,Marketing Tech,83%,19.58,03-Mar-2025,18
Accel,AgroStar,Venture Capital-Backed,2636,Pune,"AgTech, Supply Chain Tech, TMT",98%,140.77,01-Mar-2025,6.62
Accel,Quanta,Venture Capital-Backed,52,San Francisco,"FinTech, SaaS",,4.7,28-Feb-2025,4.7
Accel,Veza,Venture Capital-Backed,195,Los Gatos,"Cybersecurity, SaaS",95%,233.6,28-Feb-2025,108
Accel,Bridgetown Research,Venture Capital-Backed,2,Seattle,"Artificial Intelligence & Machine Learning, SaaS",57%,24.15,26-Feb-2025,19
Accel,Raise (Services),Venture Capital-Backed,78,Chicago,"FinTech, TMT",97%,209.11,26-Feb-2025,63
Accel,Paper (Multimedia and Design Software),Venture Capital-Backed,4,Palo Alto,"Artificial Intelligence & Machine Learning, SaaS",,4.2,25-Feb-2025,4.2
