company_name,company_financing_status,employees,hq_city,verticals,success_probability,total_raised,last_financing_date,last_financing_size
Chainguard,Venture Capital-Backed,350,Kirkland,"Cybersecurity, SaaS",94%,606.0,23-Apr-2025,350.0
Emversity,Venture Capital-Backed,198,Bangalore,"EdTech, SaaS",57%,16.0,23-Apr-2025,5.0
Endor Labs,Venture Capital-Backed,133,Palo Alto,"Cybersecurity, SaaS",90%,163.0,23-Apr-2025,93.0
Goodfire,Venture Capital-Backed,10,San Francisco,Artificial Intelligence & Machine Learning,89%,57.25,17-Apr-2025,50.0
Safe Superintelligence,Venture Capital-Backed,20,Palo Alto,Artificial Intelligence & Machine Learning,98%,3000.0,13-Apr-2025,2000.0
CalypsoAI,Venture Capital-Backed,68,New York,"Artificial Intelligence & Machine Learning, Cybersecurity, SaaS",91%,62.87,08-Apr-2025,26.87
Rain,Venture Capital-Backed,175,Nashville,"FinTech, Mobile",98%,254.6,08-Apr-2025,75.0
LightSource,Venture Capital-Backed,30,San Francisco,"Artificial Intelligence & Machine Learning, SaaS, Supply Chain Tech",94%,33.0,31-Mar-2025,33.0
Zepto,Venture Capital-Backed,3000,Bangalore,"E-Commerce, FoodTech, Supply Chain Tech",74%,1970.13,26-Mar-2025,250.0
Gemist,Venture Capital-Backed,10,Los Angeles,Mobile,80%,11.6,25-Mar-2025,2.1
Rain (Financial Software),Venture Capital-Backed,25,New York,"Cryptocurrency/Blockchain, FinTech",85%,30.5,24-Mar-2025,24.5
Wiz (Network Management Software),Venture Capital-Backed,900,New York,"Cybersecurity, SaaS",98%,1801.0,18-Mar-2025,32000.0
Anthropic,Venture Capital-Backed,1000,San Francisco,"Artificial Intelligence & Machine Learning, Big Data, SaaS",98%,18004.0,11-Mar-2025,750.0
Dexterity,Venture Capital-Backed,205,Redwood City,"Industrials, Robotics and Drones, Supply Chain Tech",96%,307.35,11-Mar-2025,95.0
Synctera,Venture Capital-Backed,101,Palo Alto,FinTech,90%,60.4,11-Mar-2025,15.0
Nirvana (Business/Productivity Software),Venture Capital-Backed,177,San Francisco,"Artificial Intelligence & Machine Learning, InsurTech",96%,162.17,10-Mar-2025,80.0
