company_name,company_financing_status,employees,hq_city,verticals,success_probability,total_raised,last_financing_date,last_financing_size
SquareX (Network Management Software),Venture Capital-Backed,4,Singapore,"CloudTech & DevOps, Cybersecurity, SaaS",85%,26.0,24-Apr-2025,20.0
Chainguard,Venture Capital-Backed,350,Kirkland,"Cybersecurity, SaaS",94%,606.0,23-Apr-2025,350.0
Hopper (Network Management Software),Venture Capital-Backed,15,Monsey,Cybersecurity,80%,15.2,22-Apr-2025,7.6
Superpower,Venture Capital-Backed,23,Los Angeles,SaaS,40%,34.0,22-Apr-2025,30.0
LayerZero,Venture Capital-Backed,128,Vancouver,"Cryptocurrency/Blockchain, FinTech, SaaS",93%,302.03,17-Apr-2025,38.73
OnlinePajak,Venture Capital-Backed,55,Jakarta Selatan,"FinTech, SaaS",72%,73.5,17-Apr-2025,2.8
Allegrow,Venture Capital-Backed,9,Glasgow,"AdTech, Marketing Tech, SaaS",65%,1.55,15-Apr-2025,1.0
Safe Superintelligence,Venture Capital-Backed,20,Palo Alto,Artificial Intelligence & Machine Learning,98%,3000.0,13-Apr-2025,2000.0
Artisan AI,Venture Capital-Backed,35,San Francisco,"Artificial Intelligence & Machine Learning, Marketing Tech, SaaS",92%,39.3,09-Apr-2025,25.0
Pennylane,Venture Capital-Backed,664,Cherbourg-en-Cotentin,"FinTech, SaaS",90%,256.22,06-Apr-2025,81.53
Félix,Venture Capital-Backed,193,San Francisco,"Artificial Intelligence & Machine Learning, FinTech",98%,99.47,03-Apr-2025,75.0
Fuse Finance,Venture Capital-Backed,12,Dubai,FinTech,71%,8.55,03-Apr-2025,6.6
OpenAI,Venture Capital-Backed,4500,San Francisco,"Artificial Intelligence & Machine Learning, Big Data, CloudTech & DevOps, SaaS",98%,63916.5,31-Mar-2025,40000.0
Temporal,Venture Capital-Backed,188,Bellevue,CloudTech & DevOps,96%,349.5,31-Mar-2025,146.0
Paraform,Venture Capital-Backed,20,San Francisco,HR Tech,87%,25.6,29-Mar-2025,20.0
smallcase,Venture Capital-Backed,284,Bangalore,FinTech,80%,117.88,28-Mar-2025,50.0
OfferFit,Venture Capital-Backed,147,Boston,"Artificial Intelligence & Machine Learning, Big Data, Marketing Tech, SaaS",88%,55.37,27-Mar-2025,325.0
Island,Venture Capital-Backed,500,Dallas,"Cybersecurity, SaaS",97%,800.0,26-Mar-2025,250.0
Mercury,Venture Capital-Backed,800,San Francisco,"FinTech, SaaS",98%,466.69,26-Mar-2025,300.0
Sunday,Venture Capital-Backed,106,Boulder,"E-Commerce, Life Sciences",88%,111.0,25-Mar-2025,30.0
n8n,Venture Capital-Backed,109,Berlin,"Artificial Intelligence & Machine Learning, SaaS, TMT",95%,73.49,24-Mar-2025,60.0
BuildOps,Venture Capital-Backed,382,Santa Monica,"CloudTech & DevOps, HR Tech, Real Estate Technology, SaaS, TMT",98%,273.06,21-Mar-2025,126.6
Stage,Venture Capital-Backed,89,Indore,Mobile,92%,19.43,21-Mar-2025,2.5
Privy (Network Management Software),Venture Capital-Backed,27,New York,"Cryptocurrency/Blockchain, Cybersecurity",90%,41.3,19-Mar-2025,15.0
Wiz (Network Management Software),Venture Capital-Backed,900,New York,"Cybersecurity, SaaS",98%,1801.0,18-Mar-2025,32000.0
Kela Technologies,Venture Capital-Backed,25,Tel Aviv,Industrials,80%,39.0,17-Mar-2025,28.0
Lovelace Studio,Venture Capital-Backed,5,Boston,"Artificial Intelligence & Machine Learning, Gaming",42%,1.2,14-Mar-2025,1.2
Binance,Venture Capital-Backed,9204,George Town,"Cryptocurrency/Blockchain, FinTech",86%,2021.82,12-Mar-2025,2000.0
Cartesia,Venture Capital-Backed,45,San Francisco,,92%,68.72,11-Mar-2025,64.0
Enter (Sao Paulo),Venture Capital-Backed,35,Sao Paulo,Artificial Intelligence & Machine Learning,77%,5.5,08-Mar-2025,5.5
