company_name,deg_weighted,deg_centrality,betweenness,eigenvector,clustering,success,total_raised,employees
Innovist,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,86.0,33.01,135.0
Innovaccer,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199715,98.0,650.6,1556.0
Command Zero,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,75.0,41.82,27.0
Superpower,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,40.0,34.0,23.0
Harvey,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,90.0,516.0,155.0
Beam (Financial Software),53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,88.0,15.0,10.0
Tana,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199715,91.0,25.49,47.0
Blockaid,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,93.0,89.08,70.0
RapidClaims,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,78.0,11.1,20.0
Hopper (Network Management Software),54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,80.0,15.2,15.0
Brisk Teaching,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,86.0,21.9,37.0
Paraform,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,87.0,25.6,20.0
Easebuzz,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,92.0,31.77,330.0
Saronic Technologies,167,0.6742081447963801,0.0358019105077928,0.18429115791463266,0.15546524625678848,97.0,845.0,286.0
Goodfire,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,89.0,57.25,10.0
Félix,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,98.0,99.47,193.0
Semgrep,101,0.4208144796380091,0.010517462735704893,0.09532811713249359,0.21165969254590897,98.0,196.0,174.0
Fictiv,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,82.0,195.62,400.0
Truemeds,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,78.0,71.97,97.0
Lottie,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,73.0,63.5,189.0
Function Health,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,65.0,357.6,32.0
Nirvana (Business/Productivity Software),47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,96.0,162.17,177.0
Island,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,97.0,800.0,500.0
Moveworks,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,95.0,308.15,664.0
Virtue AI,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,90.0,30.0,9.0
Helion,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.3374292682719971,93.0,1032.64,450.0
Silna Health,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,86.0,32.09,15.0
Mercury,120,0.5113122171945702,0.01511249937907712,0.14720148540284314,0.20035346420571518,98.0,466.69,800.0
Avelios Medical,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,55.0,33.42,100.0
Quantifind,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,97.0,268.0,179.0
Kela Technologies,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068762,80.0,39.0,25.0
ElevenLabs,120,0.5113122171945702,0.01511249937907712,0.14720148540284314,0.20035346420571523,64.0,353.04,150.0
Flock (Real Estate Services (B2C)),66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,94.0,55.34,41.0
SuperGaming,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,90.0,19.93,100.0
WithClutch,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,92.0,101.0,184.0
Hippocratic AI,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,98.0,14411.95,8000.0
Plaid,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,98.0,1309.3,1200.0
AudioMob,101,0.4208144796380091,0.010517462735704893,0.09532811713249359,0.21165969254590894,60.0,22.07,36.0
Base Power,66,0.29864253393665163,1.6235948448663682e-05,0.0926410642441445,0.33503400583636866,89.0,275.8,111.0
Scimplify,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,81.0,50.73,146.0
Scorpion Therapeutics,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,98.0,420.0,140.0
